Run,Players,Player,Satellites,Stations,ISL,Cost,Count,Min,Max,Avg,StdDev,StdErr,Total Cost,Total Value Avg,Total Value StdErr
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|SAR|DAT|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2950,2,4850,5000,4925,75,53.03300858899106,2950,4925,832.331063940305
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|VIS|DAT|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,3000,2,4600,5150,4875,275,194.45436482630055,3000,4875,1008.8359628799917
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|SAR|pSGL|pISL 1.MediumSat@MEO4|DAT|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,3100,2,4850,5000,4925,75,53.03300858899106,3100,4925,832.331063940305
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|VIS|SAR|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,3150,2,4500,4800,4650,150,106.06601717798212,3150,4650,902.8496552582827
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|VIS|pSGL|pISL 1.MediumSat@MEO4|DAT|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,3150,2,4600,5150,4875,275,194.45436482630055,3150,4875,1008.8359628799917
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|SAR|DAT|pSGL|pISL 1.MediumSat@MEO4|DAT|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,3150,2,4850,5000,4925,75,53.03300858899106,3150,4925,832.331063940305
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|VIS|DAT|pSGL|pISL 1.MediumSat@MEO4|DAT|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,3200,2,4600,5150,4875,275,194.45436482630055,3200,4875,1008.8359628799917
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|SAR|pSGL|pISL 1.MediumSat@MEO4|SAR|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,3250,2,4400,4700,4550,150,106.06601717798212,3250,4550,885.1694752983747
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|SAR|DAT|pSGL|pISL 1.MediumSat@MEO4|SAR|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,3300,2,4400,4700,4550,150,106.06601717798212,3300,4550,885.1694752983747
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|VIS|pSGL|pISL 1.MediumSat@MEO4|SAR|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,3300,2,4800,5000,4900,100,70.71067811865474,3300,4900,920.5704753032219
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|VIS|SAR|pSGL|pISL 1.MediumSat@MEO4|DAT|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,3350,2,4500,4800,4650,150,106.06601717798212,3350,4650,902.8496552582827
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|VIS|DAT|pSGL|pISL 1.MediumSat@MEO4|SAR|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,3350,2,4800,5000,4900,100,70.71067811865474,3350,4900,920.5704753032219
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|SAR|DAT|pSGL|pISL 1.MediumSat@MEO4|SAR|DAT|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,3350,2,4400,4700,4550,150,106.06601717798212,3350,4550,885.1694752983747
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|SAR|DAT|pSGL|pISL 1.MediumSat@MEO4|VIS|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,3350,2,4650,4800,4725,75,53.03300858899106,3350,4725,796.9786697271138
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|VIS|pSGL|pISL 1.MediumSat@MEO4|VIS|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,3350,2,5000,5350,5175,175,123.74368670764581,3350,5175,1008.9103032480141
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|VIS|DAT|pSGL|pISL 1.MediumSat@MEO4|VIS|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,3400,2,5000,5350,5175,175,123.74368670764581,3400,5175,1008.9103032480141
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|VIS|DAT|pSGL|pISL 1.MediumSat@MEO4|SAR|DAT|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,3400,2,4800,5000,4900,100,70.71067811865474,3400,4900,920.5704753032219
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|VIS|DAT|pSGL|pISL 1.MediumSat@MEO4|VIS|DAT|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,3450,2,5000,5350,5175,175,123.74368670764581,3450,5175,1008.9103032480141
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|VIS|SAR|pSGL|pISL 1.MediumSat@MEO4|SAR|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,3500,2,4950,5050,5000,50,35.35533905932737,3500,5000,911.7719698477246
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|VIS|SAR|pSGL|pISL 1.MediumSat@MEO4|VIS|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,3550,2,4850,5200,5025,175,123.74368670764581,3550,5025,982.3902610470036
